#node1	node2
O60238	P32456
P62750	Q9NX58
Q15797	Q9UF11
O43914	P43631
P24385	P51946
P26012	P78509
P19838	P61077
P30154	Q8WXS5
P20042	Q99613
P23508	Q9UJF2
P60880	Q12846
P11171	P35579
P49257	Q9Y3A6
P49750	Q99873
P60896	Q9GZQ8
Q9NX70	Q9UM73
Q15047	Q8TF65
P36888	Q92835
O15392	P06493
P42701	Q8IU54
P16402	P83916
Q13509	Q8NCM8
Q8N474	Q9H1J5
Q14511	Q15654
Q99650	Q9UHD0
Q15233	Q9UHD2
O00329	P22681
P46108	Q92569
O95863	Q16384
Q02790	Q9P0V3
Q8WV28	Q9UKW4
P52732	Q14164
P68400	Q14978
P19438	P54136
P25054	P33992
P18084	P63261
A8K6C2	P38484
Q6ZU52	Q9P2A4
P11166	P27797
Q13315	Q9UF12
P04070	P07204
O60518	Q15796
O95166	P14867
Q92636	Q9GZQ8
O15111	Q13797
Q16539	Q9H257
Q00653	Q6P2Q9
P43403	P62993
Q6DN03	Q9UBL3
P49792	Q96RY7
P13569	Q9Y2H5
P05771	Q9UKL4
P01236	Q12778
P05412	P84022
Q13315	Q9H6E5
P57735	Q8N465
P67870	Q15545
P14784	Q9ULV8
O43597	O43610
P32121	Q8NGX1
P05386	Q9Y3U8
P02768	P49619
P01871	P02751
P06746	Q99638
Q13177	Q13404
P27361	Q13485
P20248	Q05516
P47897	P48634
P05129	Q9HAV0
Q96AG4	Q9Y478
P99999	Q96HR8
P23527	Q9UKV0
O75396	Q13315
P46934	Q9H469
P10145	Q15654
P02747	P0C0L4
O95433	P13569
P26641	Q05397
P00533	Q12913
P00533	Q00987
Q15428	Q9UKV3
P06213	Q15147
P10914	Q13263
Q15672	Q7Z569
O60739	Q09028
O14490	P00519
O43683	Q5FBB7
Q03060	Q9Y2W7
P63261	Q05655
O15467	P49682
P11216	P46019
Q01094	Q14188
P12980	P38398
Q9NWW0	Q9Y328
P01229	Q13164
P03372	P22466
Q13315	Q70YC4
Q5VTD9	Q7Z7M0
P24043	Q9UKX5
P51817	P54646
O14964	P27986
Q04206	Q99836
P14373	P63279
P62979	Q9NZ52
O14641	P46531
P08581	P49765
Q15834	Q9UGJ1
406886	P01111
P09871	P0C0L4
P19838	Q92851
P13500	P32246
P53350	Q9H773
P52272	Q6ZVL6
P08648	P25391
P22694	Q86YV6
P12268	Q14164
P30304	Q9Y297
O75578	P04004
P52198	Q9UNA1
P09661	Q99459
P26373	P46776
Q00597	Q9HB96
O00168	P17612
P51449	Q14686
P32969	P62906
P62266	P62993
P35080	Q07890
P21333	P84022
P30480	Q9Y5B9
P25054	P48729
O60343	Q9UK61
P62140	Q9UF02
Q68CJ9	Q92793
P04637	Q9H2F5
O94759	P04637
O15116	P08243
P61978	Q13535
P01106	P20807
Q14197	Q8N0V3
P06756	Q9UKX5
P01889	P13797
O00471	Q8IWU5
P08514	Q05397
407026	P27986
P18621	P46779
P16220	P33076
Q13573	Q9Y265
O75165	P24522
P24864	Q9H1A4
Q16082	Q9HAW0
P52298	Q14974
P09619	Q00722
P62993	P78559
P14373	Q8TES7
P01588	Q9HBE5
O43927	P25024
Q14141	Q6PKG0
407014	O43521
P22736	P28482
P08047	P45983
Q9NRI5	Q9Y3P9
Q92585	Q9UBG7
O43294	Q01959
P35228	Q99612
O43318	P07437
Q92569	Q9NSC5
O00217	Q14197
O15198	O94907
Q15078	Q9H2G2
P05997	P18084
O14625	P46094
O43586	Q9UMN6
P16070	P25940
P62979	Q99816
Q00653	Q71U36
P38405	Q8NGQ2
P13498	P19320
Q05397	Q9UKX5
Q92769	Q9UIS9
P61353	Q04206
Q13619	Q8TC44
P49641	Q9Y2X7
Q07889	Q9NZN5
P32927	P52333
P16520	P27986
P49841	Q15029
P23246	Q9UHD2
P10914	Q8IYT8
P62258	Q8NDM7
P33992	P42224
P23229	P24821
Q14164	Q9Y3F4
P03372	Q14151
O60331	P33151
P27361	P61952
Q13535	Q7Z6Z7
P22314	Q9Y6X2
P56537	Q9BWH2
P21675	Q99880
P00519	P46937
P60568	Q9HC73
P10827	Q9Y618
P20908	P31431
P01566	P16471
P05121	P27540
Q8IY92	Q9UL15
Q16778	Q9UPS6
P17252	P63218
P09651	Q8IYB3
P22694	P62873
O15198	Q4LDE5
Q13017	Q9H4E5
Q6P1J9	Q8N7H5
O95402	Q9UHV7
O95166	Q32NB8
P68363	Q9BVA1
P54278	Q9Y2M0
Q13315	Q2KHR3
P25391	P53708
P30154	Q13362
Q8TF61	Q9NRI5
Q12834	Q96LZ3
Q13573	Q9UNS2
O14640	Q6DKJ4
P36873	Q9C0J8
P45983	Q13233
Q96DB2	Q96QV6
P05112	Q99062
O00743	O75170
O94915	P31946
P45983	P53779
P26639	Q15843
O14827	P27482
O15264	P25705
Q8WV28	Q92918
P39023	P49207
P13569	Q93084
P02549	Q9UI08
P16989	P25208
O75928	P84022
Q02156	Q15147
O96019	Q96EZ8
P42771	Q15910
P16870	Q5UIP0
Q96G75	Q9Y2X8
P84077	Q9UJY5
O95185	P16220
Q9BZD4	Q9NV70
P10114	Q5U651
P21741	Q07954
Q5JY77	Q9UHF0
P08637	P29353
O75582	Q02930
Q13315	Q8NG08
P07196	Q12988
O60260	Q15645
P17480	Q9UBU8
P63208	Q9HAW4
P56524	Q96QV6
P35626	Q8NGK9
Q8IWX8	Q8WUA2
P24385	Q92793
P52943	Q9NPF4
P29353	P46109
O95711	Q99467
P35658	P57740
Q12805	Q16610
P04275	P53708
Q8WUM4	Q9Y2Q3
P13798	P30480
P81605	Q00987
Q13976	Q14643
P49703	P63162
P01106	Q6ZTN6
O75385	Q9Y478
P29475	P62158
P01903	P27701
P26441	Q5VWK5
P35241	P60709
O95985	Q9BQ66
P78527	Q96R06
P20042	P55010
O14775	O60262
P08107	P13866
O95816	Q9NX70
P50502	Q9Y294
P27361	P35236
P18146	P35913
P22612	P48549
P18146	Q15910
P22612	Q86YV6
P16885	P27482
P78527	Q15596
P10244	Q16659
P08729	Q6WCQ1
Q03135	Q13586
P01876	P02647
P17612	P40145
Q04771	Q15796
P09038	Q07889
Q14011	Q15428
P35222	P46940
Q01201	Q92583
406995	P46527
P25942	Q12933
Q56P03	Q9NRR5
P17600	Q9HC10
O75508	O75970
Q13200	Q16186
P39023	Q15853
Q02156	Q9P212
P61978	Q92841
P17980	Q9UL46
P01111	Q07890
P08069	Q06124
Q9BYG4	Q9NQ66
P01566	Q9HBE5
P40425	Q7L5N1
P63104	Q5QNW6
P10828	Q9Y6Q9
P51965	Q9Y3C5
P17948	Q03014
P08246	Q9NNW5
P01106	Q96PZ0
P47897	Q16637
P04183	Q9Y600
P49366	Q13315
P01889	Q15078
P01236	P24394
P05112	P31785
P78352	Q9UP38
O60814	P0C5Y9
P09012	P18206
P38405	Q6IF82
Q8NE01	Q93062
Q15911	Q9Y2I6
407006	P03372
O43295	Q07889
P25116	Q5JY77
P00973	P10914
O00716	Q9UQ80
P54920	Q12846
P46109	Q13905
O75159	Q5VWK5
O75038	P14314
P05023	P27986
Q15750	Q99836
A8TX70	P18084
O95167	P03923
P35626	Q8NGS2
P22888	Q9Y4K3
P21796	P99999
P48730	P61981
Q92608	Q96L33
O00459	P62873
O60431	P35626
O75400	Q14498
Q04206	Q9NPH5
P35575	Q9Y478
P41743	Q86YW0
Q52LW3	Q9HBH0
Q01094	Q9UPP1
P07942	P11047
P06241	Q9BPX7
P62993	Q96B97
P19012	Q9BVI4
P52434	Q6P1J9
P49321	Q13315
P04637	P55212
O43657	Q12873
P47897	Q7L190
Q92769	Q99877
P19012	Q96GM5
P11229	Q9UK08
P60763	Q14CB8
P17980	P61289
O15264	Q86XL3
O95619	Q9Y4A5
Q8N357	Q92628
P52198	Q52LW3
P15391	Q6ZUJ8
Q13315	Q9NR33
P30793	Q99962
O14733	Q5S007
P21673	Q13432
Q9UHD2	Q9UKV8
Q8NEY8	Q92599
P14635	P25208
P00533	Q9UQF2
P35626	Q8WZ94
P40145	P62158
Q08211	Q9NR30
Q96MA1	Q9NZQ3
P09471	P45983
P25445	P45985
P15170	Q9Y466
P05771	Q9NRA0
O00206	P04637
O15371	P60228
Q9UHV7	Q9Y4A5
P23396	Q15628
P42345	P55884
O15467	P51679
P17301	P18084
A6NJZ3	P38405
O60880	P16220
O60503	P62158
P17612	Q16720
P41159	Q14627
A8K4G0	O43914
P01583	P14778
P16402	P49916
P27986	Q15019
Q00796	Q9UKE5
P17948	Q9NQ66
P40238	Q9P0W0
O00231	P61956
O14965	O15111
O60927	P62140
Q13748	Q9BSJ2
P63279	Q9UKT9
Q96ME1	Q9BQ66
P67870	Q8NCA9
P62263	P62280
P35232	P60709
O15169	Q13526
Q04759	Q9UDY8
O14641	Q9NWB1
P04628	Q96HF1
406957	P01116
Q12913	Q99569
P51665	Q9BRP4
P24522	Q12778
O15211	Q9GZT6
Q05586	Q12879
P54259	P61204
Q15796	Q9HCE7
P61601	Q13885
O95467	Q96RI0
P04259	Q00005
O95402	P62875
P61981	Q6WCQ1
O60739	Q9Y262
P30305	P63104
P31943	Q99759
O15273	P54253
P30153	Q9UBS0
O14763	Q14790
406885	P01112
P21283	P62330
P13861	Q05469
P49238	Q9NRJ3
O15031	P60763
O00459	O14807
P06493	Q9UJX3
Q06830	Q9Y6P5
P16885	Q8WYR1
P16220	P18075
P28482	P61952
P01106	Q9NR50
Q13315	Q9BZK7
Q6P4R8	Q9Y230
P01100	Q03060
Q13501	Q9H761
P08238	P12814
P20618	P25787
O00291	Q13352
P0C0S8	P23527
O95831	Q92956
Q16778	Q9UBL3
P32121	Q8NGZ3
P26641	Q8IYL3
P51812	Q13393
P15336	Q13485
P02768	Q9UPY3
P67775	Q9UBN1
P17612	P53779
Q13237	Q9Y691
P07148	P62993
Q96I34	Q9UHX1
P10636	P63104
Q02156	Q9ULK5
P01106	Q9BWT6
O94874	Q969T4
P27348	P49815
Q05086	Q56P03
P08243	Q9NWF9
Q6P2I7	Q9P2S5
O43261	Q9Y3C7
P56746	Q9UDY2
O94805	Q6STE5
P58400	Q9NZ94
O14610	P63096
Q09028	Q4LE39
P42229	Q06187
O14503	Q9NPI1
P09874	P14625
P31943	Q00653
P40424	P55072
P84103	Q08211
P63261	Q15628
O43182	P61587
P13612	P63104
Q16821	Q96SB3
P63096	Q08462
P50990	Q99459
P04792	P43360
P23458	Q969J5
Q01085	Q15717
P49238	Q16663
O95182	P17568
P09471	P32302
O00410	Q92844
O96019	Q6ZRS2
Q04759	Q9BX67
Q06190	Q9BXT2
P01568	P26992
P35368	Q16665
P56134	P56556
P49842	Q99808
P40692	Q9UHC1
P01031	P0C0L5
P18146	P49848
O00574	O15444
P16144	P53420
P01242	P38484
O95793	P46779
P49368	Q13315
O95989	Q6RFH5
O60879	P07737
O95382	P52564
O15162	P12931
O43242	Q13200
P11171	P61026
P06241	Q9NWQ8
P56524	Q6FI13
O15066	P61968
P09693	P43403
P11940	P30480
P07355	P35232
P08670	P41219
P04275	P26006
O43390	Q01081
Q06124	Q6WCQ1
O43741	Q92574
O00327	P49841
P62979	Q13415
P62249	Q9NY93
P01562	P78552
P54253	Q9BZ29
P25054	Q9BQ04
P61077	Q9BV68
P40933	Q14626
P11171	Q9H173
P07900	Q15750
Q13158	Q9HB75
O95229	Q9H081
P26373	Q9UER7
Q04206	Q8IZI9
P84095	Q8IWW6
O00221	Q9Y243
P41240	Q14108
P01225	Q9UBR4
O43175	Q7Z2E3
O15258	Q16891
P09884	Q9UHY7
O75791	O95630
P15311	P22612
Q14627	Q9GZX6
Q8N1F7	Q8NFH3
P01106	P62314
Q5VT06	Q9HAU0
407040	P10242
P13639	Q9UGJ0
O43463	Q9UIS9
554210	Q9UJM3
P49662	Q9P031
Q13042	Q99459
P25205	P49736
O00233	P51665
P30519	Q7L5N1
P11308	P17947
O95786	Q9H1Y0
P46531	Q5TA89
P52564	Q12852
Q06609	Q9NRH3
Q96KG7	Q9BY12
Q13077	Q96GX9
P17302	P28482
P49959	Q9H816
P61247	P62633
P26599	Q13242
O43237	Q13885
O76071	Q7Z7L1
P22415	Q15545
P01889	P18754
P60484	Q86UL8
Q06413	Q15759
Q15118	Q92729
P62979	Q93008
P04183	P62328
P01569	P40238
O43187	O75643
Q13123	Q8TBK6
P05423	Q15759
Q8WWR8	Q93062
P29460	P42702
O14745	P35240
P62979	Q99942
P08754	P51679
P31749	Q16537
Q6P2C8	Q9Y2X0
Q15759	Q16690
P53355	Q15418
P62070	Q9Y4G8
P49247	Q96HA8
P63279	P78364
Q92530	Q96ED9
O00231	Q9Y5K5
Q02750	Q13153
P37231	Q5VT06
P17252	Q4KWH8
P35626	P47881
P49841	Q9HBH7
P35658	Q99567
O60610	O75400
O43278	Q96IP4
P49716	Q9H819
P61978	Q96IZ5
O95467	P08912
O43318	P28482
P24941	Q9H211
P04406	Q16637
P63165	Q9NX05
P67809	Q99558
P06213	Q92915
Q9BZL6	Q9NR12
Q9NYG5	Q9UJX3
Q7Z5Q5	Q8TDG4
P12882	P63261
P04271	P36871
P07910	Q00839
Q01844	Q93062
O43889	P22694
Q96QZ7	Q9H251
P04004	P43629
P14770	Q92569
P01106	Q96Q11
P01100	P10276
P01857	P35368
P08571	Q15750
P62829	Q9Y572
P29965	Q7Z591
P14373	Q9Y2X8
P02745	Q15848
P63146	Q12888
P60953	Q5T5U3
P10721	P42338
P06756	P25940
Q6I9Y2	Q99816
Q13651	Q86WN2
O95819	Q13233
P51681	Q9UNF1
P61088	Q9NS56
P28482	Q9UNK4
Q5VTB9	Q93009
P35226	P63279
P24522	Q9Y6R4
P01589	P15018
P33176	P42262
Q8IUE6	Q99877
P62993	Q02543
P00519	Q16288
P26232	P63261
P13385	P35052
O43676	Q86Y39
P62333	Q99459
O95793	P61247
P25024	P34947
Q96KQ4	Q9UKE5
P17480	Q9Y2S0
O95299	P03915
P47897	Q12933
O75365	Q9UGP8
Q12873	Q13547
P56470	P62070
Q16778	Q9UBN7
O95751	Q8TBB1
P62750	Q96BK5
P63151	Q9UBN1
Q92845	Q9BV47
P11802	P57678
O95257	Q9BVJ6
P36954	P61218
P14555	P29992
P04637	Q00987
O14543	Q13261
P01106	P50151
P08246	Q16663
O00257	P56545
P16220	P81877
P10826	P48552
P30154	P67775
P63211	Q15147
P33032	Q96G30
O43255	Q9ULW0
Q16394	Q92882
Q9H0E9	Q9H2F5
407035	P61586
Q13435	Q9BPX7
P0C1H6	Q96DB2
P30556	Q03113
P05013	Q9UHF4
P39748	Q99459
Q13315	Q99575
P13612	Q92752
P13805	Q9Y2I6
O95006	P38405
P32456	Q92734
O60229	Q9GZM8
Q92990	Q9UNZ2
Q29RF7	Q8N3U4
O14519	P04745
Q96CG3	Q9BXS5
P31150	Q9UI14
P07237	P78545
A6NND4	P35626
P61952	Q8NFM4
347745	P36542
Q12933	Q2TAK8
Q86V97	Q9H0R8
O95467	Q92633
Q12926	Q13315
P46531	P49841
Q8N1I0	Q92730
P12931	P18564
P08575	Q99704
P00558	P04406
P60510	Q14204
P14635	P61981
P06454	Q13547
O96007	Q9NUQ8
P60981	Q96BK5
P22736	P31751
P62829	P62888
P62910	P83881
P68366	Q96NA2
P35638	Q16534
P05113	Q13261
P16220	Q9H324
P12956	P63104
P06213	P42336
P62136	Q9NZT1
Q15560	Q8NCB2
Q8TAD8	Q9UJ78
Q96CW1	Q96KG7
O95685	Q9NZT1
O95715	P51684
P07998	P13489
P62258	Q7Z353
P29973	Q9NZT1
Q13555	Q14524
Q01780	Q9Y2L1
O95169	P03905
O15105	O15530
Q8IVH2	Q9H334
P67775	Q13936
Q9HC73	Q9NYY1
P98171	Q9HBH0
Q9BRJ6	Q9NX58
P14151	Q13477
O75626	Q9NVW2
P20823	Q92831
Q96HF1	Q9ULW2
P98170	Q9Y4K3
P18084	Q14766
P60953	Q13576
P08670	P20823
P31751	Q15172
P46092	Q9Y4X3
Q99878	Q9UQL6
P21580	Q13158
P01106	P09455
P46783	P62851
P05186	Q99558
Q15369	Q9Y6I7
O14610	P28482
O75554	P08621
P00441	Q13561
P02649	P02768
O14920	Q70UQ0
P38405	Q8NGV5
O15455	P48736
P14784	Q9P0W0
P55212	Q12873
O15111	O75569
O75582	Q99941
O14775	O75899
O75533	P62258
P50991	P60510
O14770	O14964
P07900	Q12933
O00305	P21579
Q13137	Q9H492
Q13315	Q99590
P10147	P49238
Q12873	Q14974
P50402	Q7L190
P23588	Q14240
P05112	P35228
P35222	Q9NPG1
P35749	Q8IY92
P04049	P30556
P62241	P62851
Q12933	Q96GX9
P38398	P52630
P18031	P19022
Q8WVX9	Q9BUV8
P0C869	P63096
P07948	P50570
P17252	P47712
P61026	Q86TI0
Q9NX14	Q9UI09
P04899	P49798
O43493	Q9BXS5
O75385	Q16254
P49019	Q9UBU3
P45973	Q5T3J3
P20618	P49662
P05108	Q53ET0
P09769	P42338
P32121	Q8NGN0
P49768	Q92542
O60930	Q5VYV7
P08311	P21281
P32246	Q16627
P08047	P10276
P05023	P16473
P15248	P42229
P17844	Q15788
P21796	P67870
P08912	Q5JY77
P58107	Q96BK5
Q13242	Q15365
P62330	Q16891
P14635	P30291
O60238	Q9P104
Q92747	Q9BY76
P08173	P63096
Q06413	Q14934
P20333	P48594
P19438	P42574
Q96ST3	Q9Y6D9
P50402	Q12965
Q14919	Q9NRF9
P61981	Q6ICG6
O95990	Q15834
P43405	Q8WYR1
Q05519	Q15365
P24941	Q9Y5Z7
O43524	P62258
O14798	Q9UKY1
P62945	P63173
P10275	P34932
P31749	Q53GL0
P36578	P62829
Q14204	Q99623
P25054	Q8IUQ4
P05106	Q9HBI0
O00217	O95178
P12270	P16220
P17275	P84022
P08581	P22681
Q13838	Q6Y2X3
P84103	Q13243
P04439	P43631
P23434	Q13287
Q12879	Q9P0X4
P61964	Q8N257
P35638	Q01094
O75369	Q13797
P04439	P43632
P13500	P19838
P19838	Q9Y265
P35225	Q14626
O96020	Q9UBD5
P10275	Q05066
P25786	Q14232
Q5JR59	Q8TAB5
Q6ZNA4	Q969T4
P62837	Q99496
P19525	P56537
O75376	P50402
Q13137	Q14966
P98175	Q8IWZ8
P16144	Q9Y490
P05129	Q12879
Q5VWQ8	Q9Y5J5
O43921	P00533
P20671	P45973
P61587	Q9Y3M8
P62304	Q9Y3F4
Q02156	Q9NQ66
P18146	Q92569
P16220	P62805
P11388	P16104
P54646	Q8WY54
P02741	P41159
P38405	Q8NGK1
Q8IZI9	Q9HC73
P46695	Q01196
O75400	Q9NS15
P08138	Q9Y467
Q13873	Q99717
P28749	Q7L2E3
Q8IZH2	Q9NPI6
P16871	P48643
O15131	Q9NYR8
P42262	Q05586
P63098	Q9NYG5
P54136	Q99558
Q13547	Q9NWT6
Q8IZP0	Q9Y2A7
O43166	P31947
P48634	Q9UI95
P60709	Q02045
C9J798	P01116
406881	Q2Q1W2
O43324	P62330
P05090	P0CAP1
P07333	Q9GZP0
P15884	Q13363
Q9BRR9	Q9H4E5
P69905	Q9NZD4
P05113	P15260
Q00653	Q9H1R3
Q99816	Q9H3S7
P13637	Q6P1N9
P32121	Q9ULV1
P23246	P78347
O14610	P08173
P04049	P63151
P35579	Q9P2M7
P46531	Q9UJU2
P26368	P51991
P68402	Q15102
Q13571	Q6ZVM7
P0CG48	P61586
Q15834	Q9P104
P20809	P40189
P05067	P09936
P16871	P28066
P05783	P09913
Q9UBZ4	Q9Y2I6
P35575	Q9UGI9
O95163	Q9UHF0
O43741	P13639
P22681	P25942
P38405	P47881
P39023	P46778
Q16637	Q8IZL8
P62987	Q15078
P08887	P26441
O43734	P25942
P07437	Q15750
Q8IYF3	Q8WW14
P51116	Q5VSY0
P07437	P43403
P68431	Q8IXJ6
O94864	Q9HBM6
Q7Z2G1	Q9BY41
O43809	O75533
Q15465	Q9Y6C5
P05129	P11234
P11182	P20333
Q13797	Q9Y4G6
P32121	Q8NH69
O15375	P18206
P22612	P62873
P12956	Q9BTW9
P07900	P14625
P30480	Q13200
P06730	P63165
P27361	P51817
Q96B26	Q9Y3B2
P01375	Q9Y5S8
P25025	Q16663
P01889	Q96QB1
P20337	P62158
P22694	Q68CJ9
Q96SN8	Q9BZC7
P16066	Q6VMQ6
O60674	Q13651
Q03001	Q9NV70
P36873	Q9BXT2
P08311	P25116
Q9H6R7	Q9Y3C7
Q8N108	Q92769
Q49AN0	Q9Y478
Q9Y4Z0	Q9Y675
P16333	Q15746
P11277	Q13813
O95985	Q13156
P40429	P83731
O43157	P15153
P16871	Q14019
P21579	Q8WXE9
O95047	P38405
P62249	P62993
Q13485	Q8TAI7
O95602	P52434
P60709	Q9UKX5
Q6UXN9	Q99877
Q15648	Q92830
P04179	P20338
P08581	Q92914
442890	Q9UL51
P31153	P62330
O43353	Q9NYJ8
P06239	Q07666
P06454	P06493
Q08945	Q99877
O15530	Q05513
Q04724	Q9Y261
Q8WUA4	Q9Y5Q8
P21333	P46108
P14324	P54253
P31749	Q92569
P01106	Q9NTJ3
P12830	P24941
O14733	O96013
Q13315	Q9UPN4
P01889	Q9BXR0
Q9HAW0	Q9NVI1
O60503	Q8TD86
P05067	P22303
P07948	P98077
P50993	Q13976
P05067	P98170
P16220	Q9Y4E5
P23497	P63165
P55196	Q15796
O96013	P60763
Q04206	Q86X55
O00487	Q8NDT2
P60953	Q96N67
O14983	P26678
P55735	Q9NR31
C9JDP6	O75970
P55210	Q07817
406900	Q01094
P18065	P35222
O14920	P14778
P50990	Q99759
Q13501	Q8IYT8
P04275	P08514
P04637	Q9UM07
O95967	Q5VTD9
406906	Q86SR1
Q9UBS0	Q9Y243
P62140	Q13557
O75970	Q8N7P3
P16220	Q15007
P09874	Q14839
P41236	Q96SB3
P24385	Q9UJX2
P63146	Q6ZT12
P67870	Q5SQH8
O14867	Q92547
P36578	Q00005
O60739	Q9NX55
O60861	P05388
P17612	Q08493
Q7Z2Z2	Q9Y3A5
O15164	Q13185
O75385	Q9BSB4
O75400	P61981
Q05655	Q9P212
P13987	Q9UKW4
P36888	P51692
P36507	Q8IVT5
O14543	Q969J5
P62244	Q16543
Q9BX70	Q9GZT6
Q13535	Q92793
P20827	P61956
O15360	Q8NB91
P30480	Q9H9B4
P19387	P36954
Q14498	Q92731
P10275	P51946
P51965	Q9P0P0
P01106	Q7L2E3
P06241	Q9H9L3
P12004	Q01831
Q9NVW2	Q9Y2X8
Q13243	Q96SB4
O43918	O60216
Q15843	Q9UET6
P63104	Q92905
Q13573	Q9H4M9
P19174	P51398
Q9BX70	Q9C035
Q14164	Q9UKK9
O00506	Q08379
P06241	P07333
O00233	Q15008
P38405	Q8IXE1
Q9HAU0	Q9Y496
O15239	P56556
O75800	Q9C035
Q13432	Q96GX8
Q01804	Q96JB5
P10070	Q9H9S0
Q9H492	Q9P035
O15504	Q9H1B4
P35998	P54725
O00499	P39880
O00255	Q9Y5Z7
P26367	Q02962
O60739	P47813
P10600	P49747
P18146	Q16850
P04628	Q5T4F7
P05089	P42226
P07550	Q15835
P08238	P40763
O95433	Q9Y5H7
P46020	Q86XI6
P50570	Q8IVF5
P63151	Q06432
O00471	Q9BQ52
P62745	Q96N67
P25025	Q14847
P02775	Q9NX76
P08648	P20908
P21673	Q9NVL1
O43914	P43403
P67775	Q02641
O15264	P42166
P05067	P42574
P01891	P51571
O60861	Q96IG2
P40337	Q9BRA2
Q8WXH5	Q969J5
P04637	Q15648
P35251	Q9UJX2
O60603	Q14562
P12980	P30281
O43707	P68032
Q15750	Q9Y6K9
Q9BT17	Q9NRL3
Q15021	Q99459
P16070	Q9Y4K3
P84996	Q9P2W3
P16144	Q17RW2
P07996	P16144
P32302	P42830
O43318	Q9UGJ0
P08579	P63162
P46531	P48736
O60936	P50552
A4D1E9	Q14197
P63000	Q9UNA1
P40763	Q16659
Q7Z3B3	Q7Z6G3
O95622	P51817
P05114	Q02539
O00238	P15882
P15153	Q13009
P06681	P48740
Q13303	Q9H1K1
O14907	P23511
P51684	Q9NRJ3
P08581	P23467
P31947	Q99683
P01106	Q9UQ80
O00744	Q92765
P08173	Q13596
P62879	Q5JWF2
P49336	P50750
P17612	Q13370
P05112	P14316
P62158	Q01201
P14136	P49768
P61981	Q86W92
O94868	P16220
P78317	Q8IX04
P56524	Q99880
Q8TEX9	Q9Y2Q3
P22455	Q07889
P50148	Q99614
P01106	Q9ULJ6
P42345	Q13541
O15047	Q99880
Q96A65	Q9UHD2
P08047	Q04206
P36941	Q13114
P01589	Q86WN2
P60953	Q9Y3M8
P01589	Q16619
P31150	Q9UET6
P35626	Q96RD3
P04626	Q13153
P28482	Q9UKS6
Q9BQS6	Q9UKK9
Q9NR33	Q9NS73
Q16288	Q9NRF2
P04899	P51828
O75937	Q92620
P09884	Q14683
P62834	Q8WZA2
P07550	P08754
Q14160	Q15334
Q8N4C6	Q96G01
O75970	Q8N6F1
P49716	Q8N264
Q15287	Q9Y2W1
P63096	Q9BXA5
P40225	Q5VWK5
P07437	P60709
P49327	Q92597
O95257	P11473
P10145	P61073
Q14691	Q9BVW5
P48436	Q14974
P60709	P61601
406956	Q13315
P26368	Q9UKJ5
Q14765	Q8WXH5
P24385	P78543
P40337	Q16878
O43390	P38159
P25116	Q9P2W3
P16220	Q8N461
P35222	Q9UKB1
Q8WVM8	Q9P2Y5
A0AVK6	P14635
P0C7T5	Q06330
P31749	Q00653
P10276	P14859
406937	Q13951
P04626	Q12913
Q12933	Q9UNE7
C9JDP6	Q8N6F1
P45983	P62736
P15311	Q13158
P27540	P29590
P06899	Q6FI13
Q96NY8	Q9NQS3
O14744	P0C0S5
P06241	Q9Y4K4
O75340	Q9Y5Z4
P62993	Q9UBF6
O43741	Q9UGI9
P05067	P55212
Q13315	Q9P0K8
P28562	P45983
P01100	P10826
P12956	P49917
P14316	Q01167
P61966	Q6P2I7
P38405	Q9GZK3
P63215	Q96PN6
407004	Q99417
P15498	P51956
P10301	Q9NZL6
26012	Q5VTD9
P20366	Q5JY77
P22033	Q14197
Q13480	Q8WYR1
O60814	Q7L7L0
O14828	Q9H1C4
P04637	P15559
Q8WUH2	Q9P2Y5
O95644	Q16539
P05014	Q13651
P23760	P56645
O14920	Q8WXC3
Q15788	Q9NQC3
O60739	Q01105
O60733	P84077
P62888	Q02878
P50148	P63252
P14598	Q9BUZ4
P62993	Q15303
O15524	Q969J5
Q8IZC7	Q99750
P35520	Q01094
O94885	P12757
P20333	Q9UKB1
P06756	Q9UQP3
Q14573	Q9Y6F6
P53539	Q16539
O43921	Q15375
P02751	Q16610
O43236	P98170
O00750	P16333
O75051	Q00535
O43524	P35222
P40429	P62891
Q9H1J1	Q9H4D5
P26641	Q13332
O75251	O95167
Q08378	Q9HD26
P19438	P31689
P29459	P29460
P01857	Q6P1K1
Q9Y333	Q9Y4Y9
Q13155	Q96L14
Q96T58	Q9Y618
P01589	P29597
P04626	Q13387
O14965	Q12972
P49711	P67809
P17066	Q13217
Q13748	Q15628
O14904	Q9ULW2
O00308	Q01844
O00213	Q06481
P62993	Q13163
P67809	Q01130
P00533	Q9UJ41
O15514	P62487
P22694	Q8TCU5
Q13472	Q96E14
O60941	Q12933
O75746	Q14197
P01563	Q14653
P0CG48	Q9NX47
Q9BYM8	Q9GZS1
P32248	P49407
Q96FW1	Q9UKE5
P36542	Q99832
P12314	P22681
O14610	P42338
P35580	P42684
Q8IYF3	Q96HA1
P09874	P63165
P12270	Q96HA1
Q9HBE5	Q9NPF7
P18564	Q14315
P51572	Q9Y3D6
P60709	Q9NYJ8
P18859	Q9NTG7
P15884	Q9UBE8
O60331	P62330
Q01094	Q86VI4
P32121	P51681
Q13131	Q8IZP0
P51668	Q9Y4K3
P35226	Q9ULT8
Q02641	Q15173
P01566	P10912
P05060	Q86YV5
P38405	Q8NGD2
Q9NW08	Q9Y250
O15455	P14316
